RANGE                                  SIZE  STATE REMOVABLE     BLOCK
0x00000029b8000000-0x00000029c7ffffff  256M online       yes 1335-1336
0x00000029c8000000-0x00000029cfffffff  128M online        no      1337
0x00000029d0000000-0x00000029d7ffffff  128M online       yes      1338
0x00000029d8000000-0x00000029f7ffffff  512M online        no 1339-1342
0x00000029f8000000-0x00000029ffffffff  128M online       yes      1343
0x0000002a00000000-0x0000002a0fffffff  256M online        no 1344-1345
0x0000002a10000000-0x0000002a17ffffff  128M online       yes      1346
0x0000002a18000000-0x0000002a4fffffff  896M online        no 1347-1353
0x0000002a50000000-0x0000002a67ffffff  384M online       yes 1354-1356
0x0000002a68000000-0x0000002a77ffffff  256M online        no 1357-1358
0x0000002a78000000-0x0000002a7fffffff  128M online       yes      1359
0x0000002a80000000-0x0000002a87ffffff  128M online        no      1360
0x0000002a88000000-0x0000002a97ffffff  256M online       yes 1361-1362
0x0000002a98000000-0x0000002ab7ffffff  512M online        no 1363-1366
0x0000002ab8000000-0x0000002abfffffff  128M online       yes      1367
0x0000002ac0000000-0x0000002ac7ffffff  128M online        no      1368
0x0000002ac8000000-0x0000002ad7ffffff  256M online       yes 1369-1370
0x0000002ad8000000-0x0000002affffffff  640M online        no 1371-1375
0x0000002b00000000-0x0000002b07ffffff  128M online       yes      1376
0x0000002b08000000-0x0000002b0fffffff  128M online        no      1377
0x0000002b10000000-0x0000002b17ffffff  128M online       yes      1378
0x0000002b18000000-0x0000002b1fffffff  128M online        no      1379
0x0000002b20000000-0x0000002b27ffffff  128M online       yes      1380
0x0000002b28000000-0x0000002b57ffffff  768M online        no 1381-1386
0x0000002b58000000-0x0000002b67ffffff  256M online       yes 1387-1388
0x0000002b68000000-0x0000002b87ffffff  512M online        no 1389-1392
0x0000002b88000000-0x0000002b8fffffff  128M online       yes      1393
0x0000002b90000000-0x0000002b9fffffff  256M online        no 1394-1395
0x0000002ba0000000-0x0000002ba7ffffff  128M online       yes      1396
0x0000002ba8000000-0x0000002bb7ffffff  256M online        no 1397-1398
0x0000002bb8000000-0x0000002bbfffffff  128M online       yes      1399
0x0000002bc0000000-0x0000002bc7ffffff  128M online        no      1400
0x0000002bc8000000-0x0000002bcfffffff  128M online       yes      1401
0x0000002bd0000000-0x0000002bdfffffff  256M online        no 1402-1403
0x0000002be0000000-0x0000002be7ffffff  128M online       yes      1404
0x0000002be8000000-0x0000002befffffff  128M online        no      1405
0x0000002bf0000000-0x0000002bffffffff  256M online       yes 1406-1407
0x0000002c00000000-0x0000002c0fffffff  256M online        no 1408-1409
0x0000002c10000000-0x0000002c1fffffff  256M online       yes 1410-1411
0x0000002c20000000-0x0000002c3fffffff  512M online        no 1412-1415
0x0000002c40000000-0x0000002c47ffffff  128M online       yes      1416
0x0000002c48000000-0x0000002c4fffffff  128M online        no      1417
0x0000002c50000000-0x0000002c5fffffff  256M online       yes 1418-1419
0x0000002c60000000-0x0000002c9fffffff    1G online        no 1420-1427
0x0000002ca0000000-0x0000002ca7ffffff  128M online       yes      1428
0x0000002ca8000000-0x0000002cafffffff  128M online        no      1429
0x0000002cb0000000-0x0000002cb7ffffff  128M online       yes      1430
0x0000002cb8000000-0x0000002cf7ffffff    1G online        no 1431-1438
0x0000002cf8000000-0x0000002d07ffffff  256M online       yes 1439-1440
0x0000002d08000000-0x0000002d0fffffff  128M online        no      1441
0x0000002d10000000-0x0000002d17ffffff  128M online       yes      1442
0x0000002d18000000-0x0000002d2fffffff  384M online        no 1443-1445
0x0000002d30000000-0x0000002d4fffffff  512M online       yes 1446-1449
0x0000002d50000000-0x0000002d5fffffff  256M online        no 1450-1451
0x0000002d60000000-0x0000002d6fffffff  256M online       yes 1452-1453
0x0000002d70000000-0x0000002d7fffffff  256M online        no 1454-1455
0x0000002d80000000-0x0000002d87ffffff  128M online       yes      1456
0x0000002d88000000-0x0000002d8fffffff  128M online        no      1457
0x0000002d90000000-0x0000002d9fffffff  256M online       yes 1458-1459
0x0000002da0000000-0x0000002dafffffff  256M online        no 1460-1461
0x0000002db0000000-0x0000002db7ffffff  128M online       yes      1462
0x0000002db8000000-0x0000002dbfffffff  128M online        no      1463
0x0000002dc0000000-0x0000002dc7ffffff  128M online       yes      1464
0x0000002dc8000000-0x0000002dd7ffffff  256M online        no 1465-1466
0x0000002dd8000000-0x0000002ddfffffff  128M online       yes      1467
0x0000002de0000000-0x0000002de7ffffff  128M online        no      1468
0x0000002de8000000-0x0000002defffffff  128M online       yes      1469
0x0000002df0000000-0x0000002e47ffffff  1.4G online        no 1470-1480
0x0000002e48000000-0x0000002e4fffffff  128M online       yes      1481
0x0000002e50000000-0x0000002e5fffffff  256M online        no 1482-1483
0x0000002e60000000-0x0000002e67ffffff  128M online       yes      1484
0x0000002e68000000-0x0000002e77ffffff  256M online        no 1485-1486
0x0000002e78000000-0x0000002e7fffffff  128M online       yes      1487
0x0000002e80000000-0x0000002eb7ffffff  896M online        no 1488-1494
0x0000002eb8000000-0x0000002ebfffffff  128M online       yes      1495
0x0000002ec0000000-0x0000002ec7ffffff  128M online        no      1496
0x0000002ec8000000-0x0000002ecfffffff  128M online       yes      1497
0x0000002ed0000000-0x0000002ed7ffffff  128M online        no      1498
0x0000002ed8000000-0x0000002edfffffff  128M online       yes      1499
0x0000002ee0000000-0x0000002f07ffffff  640M online        no 1500-1504
0x0000002f08000000-0x0000002f0fffffff  128M online       yes      1505
0x0000002f10000000-0x0000002f17ffffff  128M online        no      1506
0x0000002f18000000-0x0000002f1fffffff  128M online       yes      1507
0x0000002f20000000-0x0000002f2fffffff  256M online        no 1508-1509
0x0000002f30000000-0x0000002f3fffffff  256M online       yes 1510-1511
0x0000002f40000000-0x0000002f47ffffff  128M online        no      1512
0x0000002f48000000-0x0000002f4fffffff  128M online       yes      1513
0x0000002f50000000-0x0000002f5fffffff  256M online        no 1514-1515
0x0000002f60000000-0x0000002f6fffffff  256M online       yes 1516-1517
0x0000002f70000000-0x0000002f87ffffff  384M online        no 1518-1520
0x0000002f88000000-0x0000002f8fffffff  128M online       yes      1521
0x0000002f90000000-0x0000002f97ffffff  128M online        no      1522
0x0000002f98000000-0x0000002f9fffffff  128M online       yes      1523
0x0000002fa0000000-0x0000002fbfffffff  512M online        no 1524-1527
0x0000002fc0000000-0x0000002fc7ffffff  128M online       yes      1528
0x0000002fc8000000-0x0000002fefffffff  640M online        no 1529-1533
0x0000002ff0000000-0x0000002fffffffff  256M online       yes 1534-1535
0x0000003000000000-0x0000003017ffffff  384M online        no 1536-1538
0x0000003018000000-0x0000003027ffffff  256M online       yes 1539-1540
0x0000003028000000-0x0000003047ffffff  512M online        no 1541-1544
0x0000003048000000-0x000000304fffffff  128M online       yes      1545
0x0000003050000000-0x0000003087ffffff  896M online        no 1546-1552
0x0000003088000000-0x0000003267ffffff  7.5G online       yes 1553-1612
0x0000003268000000-0x000000326fffffff  128M online        no      1613
0x0000003270000000-0x00000033e7ffffff  5.9G online       yes 1614-1660
0x00000033e8000000-0x00000033efffffff  128M online        no      1661
0x00000033f0000000-0x0000003447ffffff  1.4G online       yes 1662-1672
0x0000003448000000-0x000000344fffffff  128M online        no      1673
0x0000003450000000-0x0000003477ffffff  640M online       yes 1674-1678
0x0000003478000000-0x000000347fffffff  128M online        no      1679
0x0000003480000000-0x00000034d7ffffff  1.4G online       yes 1680-1690
0x00000034d8000000-0x00000034dfffffff  128M online        no      1691
0x00000034e0000000-0x00000034f7ffffff  384M online       yes 1692-1694
0x00000034f8000000-0x0000003507ffffff  256M online        no 1695-1696
0x0000003508000000-0x0000003527ffffff  512M online       yes 1697-1700
0x0000003528000000-0x0000003537ffffff  256M online        no 1701-1702
0x0000003538000000-0x0000003567ffffff  768M online       yes 1703-1708
0x0000003568000000-0x000000356fffffff  128M online        no      1709
0x0000003570000000-0x000000357fffffff  256M online       yes 1710-1711
0x0000003580000000-0x0000003587ffffff  128M online        no      1712
0x0000003588000000-0x000000358fffffff  128M online       yes      1713
0x0000003590000000-0x0000003597ffffff  128M online        no      1714
0x0000003598000000-0x00000035b7ffffff  512M online       yes 1715-1718
0x00000035b8000000-0x00000035bfffffff  128M online        no      1719
0x00000035c0000000-0x00000035dfffffff  512M online       yes 1720-1723
0x00000035e0000000-0x00000035e7ffffff  128M online        no      1724
0x00000035e8000000-0x000000360fffffff  640M online       yes 1725-1729
0x0000003610000000-0x0000003617ffffff  128M online        no      1730
0x0000003618000000-0x0000003627ffffff  256M online       yes 1731-1732
0x0000003628000000-0x000000362fffffff  128M online        no      1733
0x0000003630000000-0x000000364fffffff  512M online       yes 1734-1737
0x0000003650000000-0x0000003657ffffff  128M online        no      1738
0x0000003658000000-0x0000003667ffffff  256M online       yes 1739-1740
0x0000003668000000-0x0000003687ffffff  512M online        no 1741-1744
0x0000003688000000-0x00000036bfffffff  896M online       yes 1745-1751
0x00000036c0000000-0x00000036d7ffffff  384M online        no 1752-1754
0x00000036d8000000-0x00000036f7ffffff  512M online       yes 1755-1758
0x00000036f8000000-0x00000036ffffffff  128M online        no      1759
0x0000003700000000-0x0000003717ffffff  384M online       yes 1760-1762
0x0000003718000000-0x0000003727ffffff  256M online        no 1763-1764
0x0000003728000000-0x000000372fffffff  128M online       yes      1765
0x0000003730000000-0x000000374fffffff  512M online        no 1766-1769
0x0000003750000000-0x0000003757ffffff  128M online       yes      1770
